SentenceID,Category_UZ,Category_EN,Word,Segmented,Stem,Lemma,Feautures
1,Dunyo,World,rossiyada,rossiya/da,rossiya,rossiya,"[{'word': 'rossiyada', 'stem': 'rossiya', 'lemma': 'rossiya', 'pos': 'VERB', 'id': '7', 'affix': 'da', 'affixed': 'da'}]"
1,Dunyo,World,ishlayotgan,ishla/yotgan,ishla,ishla,"[{'word': 'ishlayotgan', 'stem': 'ishla', 'lemma': 'ishla', 'pos': 'VERB', 'id': '111', 'affix': '(a)yotgan', 'affixed': 'yotgan', 'tense': 'Present', 'person': '3', 'verb_func': 'Participle'}]"
1,Dunyo,World,migrantlar,migrant/lar,migrant,migrant,"[{'word': 'migrantlar', 'stem': 'migrant', 'lemma': 'migrant', 'pos': 'NOUN', 'id': '10', 'affix': 'lar', 'affixed': 'lar', 'plural': True}]"
1,Dunyo,World,uchun,uchun/,uchun,uchun,"[{'word': 'uchun', 'stem': 'uchun', 'lemma': 'uchun', 'pos': 'ADP'}]"
1,Dunyo,World,yangi,yangi/,yangi,yangi,"[{'word': 'yangi', 'stem': 'yangi', 'lemma': 'yangi', 'pos': 'ADJ'}, {'word': 'yangi', 'stem': 'yang', 'lemma': 'yang', 'pos': 'NOUN', 'id': '5', 'affix': '(S)i', 'affixed': 'i', 'possession': '3'}]"
1,Dunyo,World,xizmat,xizmat/,xizmat,xizmat,"[{'word': 'xizmat', 'stem': 'xizmat', 'lemma': 'xizmat', 'pos': 'Undefined'}]"
1,Dunyo,World,ishga,ish/ga,ish,ish,"[{'word': 'ishga', 'stem': 'ish', 'lemma': 'ish', 'pos': 'VERB', 'id': '6', 'affix': 'Ga', 'affixed': 'ga'}]"
1,Dunyo,World,tushdi,tush/di,tush,tush,"[{'word': 'tushdi', 'stem': 'tush', 'lemma': 'tush', 'pos': 'VERB', 'id': '299', 'affix': 'di', 'affixed': 'di', 'tense': 'Past', 'person': '3', 'verb_func': 'Finite', 'impulsion': 'Message'}]"
2,Dunyo,World,rossiyada,rossiya/da,rossiya,rossiya,"[{'word': 'rossiyada', 'stem': 'rossiya', 'lemma': 'rossiya', 'pos': 'VERB', 'id': '7', 'affix': 'da', 'affixed': 'da'}]"
2,Dunyo,World,yagona,yagona/,yagona,yagona,"[{'word': 'yagona', 'stem': 'yagona', 'lemma': 'yagona', 'pos': 'Undefined'}]"
2,Dunyo,World,davlat,davlat/,davlat,davlat,"[{'word': 'davlat', 'stem': 'davlat', 'lemma': 'davlat', 'pos': 'Undefined'}]"
